filename,L(m),W(m),xFeed(m),yFeed(m),Gmax_dBi,S11_dB,InputResistance_ohm,InputReactance_ohm
ant_0001.png,2.73E-02,3.79E-02,-3.42E-03,-1.03E-03,4.8166,-1.4009,12.3907,71.3837
ant_0002.png,2.69E-02,3.66E-02,-4.30E-03,5.74E-04,5.278,-2.9778,21.7218,60.0873
ant_0003.png,2.96E-02,3.83E-02,-1.59E-03,9.44E-05,-0.2944,-0.3389,4.019,88.2661
ant_0004.png,2.94E-02,3.65E-02,1.18E-02,9.16E-05,5.5221,-7.2326,22.937,18.3719
ant_0005.png,2.77E-02,3.43E-02,-1.13E-02,-1.12E-03,5.5371,-20.6583,43.9851,-6.3303
ant_0006.png,2.74E-02,3.46E-02,3.50E-03,-1.18E-04,5.0173,-1.665,13.5384,66.8249
ant_0007.png,2.95E-02,3.56E-02,-1.17E-02,-6.99E-04,5.5018,-7.1079,22.8011,19.0331
ant_0008.png,2.72E-02,3.85E-02,9.46E-03,5.40E-04,5.586,-15.8672,45.349,14.8159
ant_0009.png,2.60E-02,3.80E-02,-1.11E-02,-1.14E-04,5.5881,-11.1631,83.2709,-16.5145
ant_0010.png,2.82E-02,3.69E-02,9.73E-03,-8.46E-05,5.5506,-9.7933,30.5707,18.4081
ant_0011.png,2.62E-02,3.48E-02,-9.59E-03,-4.42E-04,5.5358,-11.8917,81.3837,-11.8664
ant_0012.png,2.92E-02,3.49E-02,9.74E-03,-6.45E-04,5.4901,-6.1768,21.8977,24.5386
ant_0013.png,3.00E-02,3.49E-02,1.75E-03,5.12E-04,0.5854,-0.3088,3.3502,83.1719
ant_0014.png,2.88E-02,3.67E-02,1.13E-02,3.98E-04,5.5433,-9.039,26.9041,15.2852
ant_0015.png,3.09E-02,3.51E-02,-1.03E-02,3.01E-04,5.3844,-3.1304,13.6001,35.3648
ant_0016.png,2.83E-02,3.69E-02,-1.16E-02,4.78E-04,5.5639,-12.4503,32.3088,8.7604
ant_0017.png,2.82E-02,3.98E-02,9.46E-03,2.62E-04,5.5407,-7.5227,30.0196,29.8524
ant_0018.png,2.88E-02,4.00E-02,-2.98E-03,1.41E-03,3.289,-0.6558,7.1938,83.6297
ant_0019.png,2.93E-02,3.71E-02,1.10E-02,1.30E-04,5.5155,-6.4605,22.1917,22.8483
ant_0020.png,2.63E-02,3.65E-02,9.25E-03,3.74E-04,5.5679,-15.6214,69.7581,1.6612
ant_0021.png,2.65E-02,3.74E-02,-1.11E-02,-3.19E-04,5.5866,-14.6424,67.7859,-12.8737
ant_0022.png,2.95E-02,3.90E-02,-1.03E-02,2.69E-04,5.4632,-4.9745,21.418,34.3691
ant_0023.png,2.74E-02,3.38E-02,-9.14E-03,5.08E-04,5.5258,-23.1416,45.1697,4.5503
ant_0024.png,2.79E-02,3.90E-02,1.10E-02,-1.80E-04,5.5918,-13.7249,37.8498,13.6991
ant_0025.png,2.61E-02,3.60E-02,-8.82E-03,9.26E-04,5.5487,-13.184,77.9806,2.031
ant_0026.png,2.82E-02,4.01E-02,-1.15E-02,9.90E-04,5.5763,-10.6441,33.6668,19.1971
ant_0027.png,2.99E-02,3.63E-02,5.93E-03,-5.01E-04,4.9504,-1.5043,10.3397,58.5042
ant_0028.png,2.95E-02,3.68E-02,-1.20E-02,1.06E-03,5.5058,-7.2833,23.2342,18.7594
ant_0029.png,2.81E-02,3.91E-02,-1.15E-02,1.06E-04,5.5855,-12.4888,35.0173,13.9271
ant_0030.png,2.65E-02,3.43E-02,-4.65E-03,-8.52E-04,5.4053,-4.9087,32.848,53.2862
ant_0031.png,2.86E-02,3.46E-02,6.00E-03,1.19E-03,5.3013,-2.9309,16.7906,48.8001
ant_0032.png,2.96E-02,3.78E-02,1.25E-02,-1.51E-03,5.4846,-6.5545,22.3812,22.5318
